UID,session,day
3368555.3384450,1,thu
3368555.3384459,1,thu
3368555.3384455,1,thu
3368555.3384454,1,fri
3368555.3384462,1,fri
3368555.3384456,1,sat
3368555.3384465,1,sat
3368555.3384452,1,sat

